ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93101,10,2015,Elec- Commercial,Y,0.00,0.00,
93101,10,2015,Elec- Residential,Y,0.00,0.00,
93105,10,2015,Elec- Commercial,Y,0.00,0.00,
93105,10,2015,Elec- Residential,Y,0.00,0.00,
93110,10,2015,Elec- Commercial,Y,0.00,0.00,
93110,10,2015,Elec- Residential,Y,0.00,0.00,
93117,10,2015,Elec- Commercial,Y,0.00,0.00,
93117,10,2015,Elec- Residential,Y,0.00,0.00,
93201,10,2015,Elec- Residential,N,311.00,170462.00,548.00
93202,10,2015,Elec- Agricultural,Y,0.00,0.00,
93203,10,2015,Elec- Agricultural,Y,148.00,8875513.00,59970.00
93203,10,2015,Elec- Commercial,Y,452.00,4995376.00,11052.00
93203,10,2015,Elec- Industrial,Y,0.00,0.00,
93203,10,2015,Elec- Residential,Y,4635.00,2565352.00,553.00
93204,10,2015,Elec- Agricultural,Y,0.00,0.00,
93204,10,2015,Elec- Commercial,Y,0.00,0.00,
93204,10,2015,Elec- Industrial,Y,0.00,0.00,
93204,10,2015,Elec- Residential,N,2276.00,1250299.00,549.00
93206,10,2015,Elec- Agricultural,Y,0.00,0.00,
93206,10,2015,Elec- Commercial,Y,0.00,0.00,
93206,10,2015,Elec- Industrial,Y,0.00,0.00,
93206,10,2015,Elec- Residential,N,519.00,356257.00,686.00
93210,10,2015,Elec- Agricultural,Y,0.00,0.00,
93210,10,2015,Elec- Commercial,Y,0.00,0.00,
93210,10,2015,Elec- Industrial,Y,0.00,0.00,
93210,10,2015,Elec- Residential,N,4242.00,2511166.00,592.00
93212,10,2015,Elec- Agricultural,Y,0.00,0.00,
93212,10,2015,Elec- Commercial,Y,0.00,0.00,
93212,10,2015,Elec- Industrial,Y,0.00,0.00,
93212,10,2015,Elec- Residential,N,4152.00,2425567.00,584.00
93215,10,2015,Elec- Agricultural,Y,0.00,0.00,
93219,10,2015,Elec- Agricultural,Y,0.00,0.00,
93219,10,2015,Elec- Commercial,Y,0.00,0.00,
93219,10,2015,Elec- Residential,Y,124.00,77732.00,627.00
93224,10,2015,Elec- Commercial,Y,0.00,0.00,
93224,10,2015,Elec- Industrial,Y,0.00,0.00,
93224,10,2015,Elec- Residential,N,159.00,105287.00,662.00
93225,10,2015,Elec- Agricultural,Y,0.00,0.00,
93225,10,2015,Elec- Commercial,Y,0.00,0.00,
93230,10,2015,Elec- Agricultural,Y,435.00,7379508.00,16964.00
93230,10,2015,Elec- Commercial,Y,0.00,0.00,
93230,10,2015,Elec- Industrial,Y,0.00,0.00,
93230,10,2015,Elec- Residential,N,915.00,756142.00,826.00
93234,10,2015,Elec- Agricultural,Y,0.00,0.00,
93234,10,2015,Elec- Commercial,Y,0.00,0.00,
93234,10,2015,Elec- Industrial,Y,0.00,0.00,
93234,10,2015,Elec- Residential,N,1433.00,760973.00,531.00
93239,10,2015,Elec- Agricultural,Y,0.00,0.00,
93239,10,2015,Elec- Commercial,Y,0.00,0.00,
93239,10,2015,Elec- Residential,N,375.00,207212.00,553.00
93240,10,2015,Elec- Residential,Y,0.00,0.00,
93241,10,2015,Elec- Agricultural,Y,0.00,0.00,
93241,10,2015,Elec- Commercial,Y,0.00,0.00,
93241,10,2015,Elec- Residential,N,3422.00,1848416.00,540.00
93242,10,2015,Elec- Agricultural,Y,0.00,0.00,
93242,10,2015,Elec- Commercial,Y,0.00,0.00,
93242,10,2015,Elec- Residential,N,982.00,676667.00,689.00
93243,10,2015,Elec- Agricultural,Y,0.00,0.00,
93243,10,2015,Elec- Commercial,Y,0.00,0.00,
93243,10,2015,Elec- Industrial,Y,0.00,0.00,
93243,10,2015,Elec- Residential,N,441.00,189720.00,430.00
93245,10,2015,Elec- Agricultural,Y,729.00,13324630.00,18278.00
93245,10,2015,Elec- Commercial,Y,0.00,0.00,
93245,10,2015,Elec- Industrial,Y,0.00,0.00,
93245,10,2015,Elec- Residential,N,10272.00,6996378.00,681.00
93249,10,2015,Elec- Agricultural,Y,0.00,0.00,
93249,10,2015,Elec- Commercial,Y,0.00,0.00,
93249,10,2015,Elec- Industrial,Y,0.00,0.00,
93249,10,2015,Elec- Residential,N,511.00,278916.00,546.00
93250,10,2015,Elec- Agricultural,Y,0.00,0.00,
93250,10,2015,Elec- Commercial,Y,0.00,0.00,
93250,10,2015,Elec- Industrial,Y,0.00,0.00,
93250,10,2015,Elec- Residential,N,2394.00,1322454.00,552.00
93251,10,2015,Elec- Agricultural,Y,0.00,0.00,
93251,10,2015,Elec- Commercial,Y,0.00,0.00,
93251,10,2015,Elec- Industrial,Y,0.00,0.00,
93251,10,2015,Elec- Residential,N,54.00,35177.00,651.00
93252,10,2015,Elec- Agricultural,Y,0.00,0.00,
93252,10,2015,Elec- Commercial,Y,0.00,0.00,
93252,10,2015,Elec- Industrial,Y,0.00,0.00,
93252,10,2015,Elec- Residential,N,529.00,302251.00,571.00
93254,10,2015,Elec- Agricultural,Y,0.00,0.00,
93254,10,2015,Elec- Commercial,Y,0.00,0.00,
93254,10,2015,Elec- Residential,N,296.00,149836.00,506.00
93256,10,2015,Elec- Agricultural,Y,0.00,0.00,
93256,10,2015,Elec- Commercial,Y,0.00,0.00,
93256,10,2015,Elec- Residential,Y,0.00,0.00,
93262,10,2015,Elec- Agricultural,Y,0.00,0.00,
93262,10,2015,Elec- Commercial,Y,0.00,0.00,
93263,10,2015,Elec- Agricultural,Y,0.00,0.00,
93263,10,2015,Elec- Commercial,Y,1448.00,17351922.00,11983.00
93263,10,2015,Elec- Industrial,Y,0.00,0.00,
93263,10,2015,Elec- Residential,N,5484.00,3255472.00,594.00
93266,10,2015,Elec- Agricultural,Y,0.00,0.00,
93266,10,2015,Elec- Commercial,Y,0.00,0.00,
93266,10,2015,Elec- Residential,N,370.00,229046.00,619.00
93268,10,2015,Elec- Agricultural,Y,0.00,0.00,
93268,10,2015,Elec- Commercial,Y,0.00,0.00,
93268,10,2015,Elec- Industrial,Y,0.00,0.00,
93268,10,2015,Elec- Residential,N,5402.00,3172482.00,587.00
93272,10,2015,Elec- Agricultural,Y,0.00,0.00,
93272,10,2015,Elec- Commercial,Y,0.00,0.00,
93274,10,2015,Elec- Agricultural,Y,0.00,0.00,
93274,10,2015,Elec- Commercial,Y,0.00,0.00,
93274,10,2015,Elec- Residential,N,93.00,91645.00,985.00
93276,10,2015,Elec- Agricultural,Y,0.00,0.00,
93276,10,2015,Elec- Commercial,Y,0.00,0.00,
93276,10,2015,Elec- Industrial,Y,0.00,0.00,
93276,10,2015,Elec- Residential,N,59.00,38967.00,660.00
93277,10,2015,Elec- Agricultural,Y,0.00,0.00,
93277,10,2015,Elec- Commercial,Y,0.00,0.00,
93277,10,2015,Elec- Residential,Y,0.00,0.00,
93280,10,2015,Elec- Agricultural,Y,1205.00,100214991.00,83166.00
93280,10,2015,Elec- Commercial,Y,0.00,0.00,
93280,10,2015,Elec- Industrial,Y,0.00,0.00,
93280,10,2015,Elec- Residential,N,5893.00,3253524.00,552.00
93286,10,2015,Elec- Agricultural,Y,175.00,753005.00,4303.00
93286,10,2015,Elec- Commercial,Y,0.00,0.00,
93286,10,2015,Elec- Residential,N,352.00,243514.00,692.00
93287,10,2015,Elec- Residential,Y,0.00,0.00,
93291,10,2015,Elec- Agricultural,Y,0.00,0.00,
93291,10,2015,Elec- Commercial,Y,0.00,0.00,
93291,10,2015,Elec- Residential,Y,62.00,52050.00,840.00
93292,10,2015,Elec- Agricultural,Y,0.00,0.00,
93292,10,2015,Elec- Commercial,Y,0.00,0.00,
93292,10,2015,Elec- Residential,N,105.00,66472.00,633.00
93301,10,2015,Elec- Agricultural,Y,0.00,0.00,
93301,10,2015,Elec- Commercial,Y,0.00,0.00,
93301,10,2015,Elec- Industrial,Y,0.00,0.00,
93301,10,2015,Elec- Residential,N,5448.00,2905976.00,533.00
93304,10,2015,Elec- Agricultural,Y,0.00,0.00,
93304,10,2015,Elec- Commercial,N,1041.00,9783653.00,9398.00
93304,10,2015,Elec- Industrial,Y,0.00,0.00,
93304,10,2015,Elec- Residential,N,15270.00,8655345.00,567.00
93305,10,2015,Elec- Agricultural,Y,0.00,0.00,
93305,10,2015,Elec- Commercial,Y,0.00,0.00,
93305,10,2015,Elec- Industrial,Y,0.00,0.00,
93305,10,2015,Elec- Residential,N,10604.00,5722629.00,540.00
93306,10,2015,Elec- Agricultural,Y,0.00,0.00,
93306,10,2015,Elec- Commercial,Y,0.00,0.00,
93306,10,2015,Elec- Industrial,Y,0.00,0.00,
93306,10,2015,Elec- Residential,Y,21452.00,14103438.00,657.00
93307,10,2015,Elec- Agricultural,Y,483.00,18801913.00,38927.00
93307,10,2015,Elec- Commercial,Y,1693.00,16220860.00,9581.00
93307,10,2015,Elec- Industrial,Y,0.00,0.00,
93307,10,2015,Elec- Residential,N,21599.00,12581251.00,582.00
93308,10,2015,Elec- Agricultural,Y,193.00,4651492.00,24101.00
93308,10,2015,Elec- Commercial,Y,6261.00,81205850.00,12970.00
93308,10,2015,Elec- Industrial,Y,89.00,145388337.00,1633577.00
93308,10,2015,Elec- Residential,N,19046.00,12618689.00,663.00
93309,10,2015,Elec- Agricultural,Y,0.00,0.00,
93309,10,2015,Elec- Commercial,N,1358.00,16477411.00,12134.00
93309,10,2015,Elec- Residential,N,22652.00,14064277.00,621.00
93311,10,2015,Elec- Agricultural,Y,0.00,0.00,
93311,10,2015,Elec- Commercial,Y,505.00,9748113.00,19303.00
93311,10,2015,Elec- Industrial,Y,0.00,0.00,
93311,10,2015,Elec- Residential,N,15076.00,10597422.00,703.00
93312,10,2015,Elec- Agricultural,Y,0.00,0.00,
93312,10,2015,Elec- Commercial,Y,0.00,0.00,
93312,10,2015,Elec- Residential,N,19068.00,14238467.00,747.00
93313,10,2015,Elec- Agricultural,Y,321.00,14825712.00,46186.00
93313,10,2015,Elec- Commercial,N,989.00,11298971.00,11425.00
93313,10,2015,Elec- Industrial,Y,0.00,0.00,
93313,10,2015,Elec- Residential,N,14094.00,9580373.00,680.00
